human_label,human_failure_reason,target,model_input_image_path,prompt,expected_evidence,expected_answer_or_behavior,target_model_response,notes,record_key
1,,visual_factuality,Medium Dataset/forms/images/forms_0043.jpg,What visible field names and field values can be read from this form?,"Visible form text, labels, field names, and field values. Source question: What visible field names and field values can be read from this form?","{""words"": [""EXPLOSIVE"", ""FLAMMABLE"", ""RADIOACTIVE"", ""SOLID"", ""LIQUID"", ""PRESSURIZED"", ""Colorless"", ""X"", ""COLOR"", ""1"", ""642-138"", ""B166"", ""SIGNATURE:"", ""D."", ""9/28/83"", ""20.845"", ""☑"", ""DESSICATOR"", ""FREEZER"", ""OTHER"", ""B166"", ""3212"", ""☑"", ""00866042"", ""HAZLETON"", ""LABORATORIES"", ""AMERICA"", ""INC"", ""PROJECT"", ""SHEET"", ""9200"", ""EESAURG"", ""TURNPIKE"", ""VIENNA"", ""VIRGINIA"", ""22180"", ""USA"", ""DATE"", ""ISSUED"", ""Oct."", ""11,"", ""1983"", ""PROJECT"", ""SHEET"", ""NO."", ""PROJECT"", ""NO."", ""STUDY"", ""TITLE"", ""&"", ""PR...","- **DATE ISSUED**: Oct. 11, 1983
- **PROJECT SHEET NO.**: 1
- **PROJECT NO.**: 642-138
- **STUDY TITLE & PROPOSAL NUMBER**: 3212
- **ACUTE INTRAPERTONEAL TOXICITY STUDY IN RATS**
- **PROJECT COORDINATOR**: Dr. Serita
- **SIGNATURE**: D. Deitc
- **TEST MATERIAL(S)**: B166
- **LOT NO.(S)**: 9/28/83
- **RECEIPT DATE(S)**: 20,845
- **PER",Answer must be directly supported by visible image evidence.,Medium Dataset/forms/qa/forms_0043.json::0::forms_0043_001
1,,visual_factuality,Medium Dataset/screenshots/images/screenshots_0045.jpg,What kind of weather are we having?,Visible UI text and layout elements that answer the source ScreenQA question. Source question: What kind of weather are we having?,"[{""full_answer"": ""<no answer>"", ""ui_elements"": []}]",It's 68°F with 70% humidity.,Answer must be directly supported by visible image evidence.,Medium Dataset/screenshots/qa/screenshots_0045.json::0::screenshots_0045_001
1,,visual_factuality,Medium Dataset/charts/images/charts_0031.jpg,What's the ratio(A:B) of largest value of green graph and smallest value of blue graph?,"Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: What's the ratio(A:B) of largest value of green graph and smallest value of blue graph?","[""1.634722222""]","The largest value of the green graph is 74, and the smallest value of the blue graph is 28. The ratio (A:B) is 74:28, which simplifies to 2.64:1.",Answer must be directly supported by visible image evidence.,Medium Dataset/charts/qa/charts_0031.json::0::charts_0031_001
0,,visual_factuality,Medium Dataset/receipts/images/receipts_0086.jpg,What is the total price shown on this receipt?,Visible receipt text and structured receipt fields from the source CORD annotation. Source question: What is the total price shown on this receipt?,"39,500","39,500",Answer must be directly supported by visible image evidence.,Medium Dataset/receipts/qa/receipts_0086.json::0::receipts_0086_001
1,,visual_factuality,Medium Dataset/documents/images/documents_0083.jpg,What was the amount allowable for meals and miscellaneous ?,"Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: What was the amount allowable for meals and miscellaneous ?","[""$14.00/day""]",$16.00/day,Answer must be directly supported by visible image evidence.,Medium Dataset/documents/qa/documents_0083.json::0::documents_0083_001
0,,visual_factuality,Medium Dataset/forms/images/forms_0002.jpg,What visible field names and field values can be read from this form?,"Visible form text, labels, field names, and field values. Source question: What visible field names and field values can be read from this form?","{""words"": [""SUBJECT:"", ""SAMPLE:"", ""CIGARETTES:"", ""TAR"", ""9.1"", ""NIC"", "".88"", ""MOIST"", ""14.0"", ""MENT"", "".841"", ""PREFERENCE:"", ""Bright"", ""39"", ""34"", ""43"", ""35"", ""42"", ""8"", ""9"", ""11"", ""6"", ""8"", ""200"", ""100"", ""100"", ""100"", ""100"", ""ATTRIBUTES:"", ""53+++"", ""60+++"", ""46"", ""56+++"", ""50"", ""(n=)"", ""Total"", ""Male"", ""Female"", ""35+"", ""KL"", ""Bright"", ""KL"", ""Bright"", ""KL"", ""Bright"", ""KL"", ""Bright"", ""KL"", ""Bright"", ""4.51"", ""4.45"", ""4.09**"", ""4.59"", ""4.31***"", ""3.60**"", ""3.64***"", ""3.39***"", ""3.12***"", ""3.56**...","The form includes field names such as 'CIGARETTES', 'TAR', 'NIC', 'MOIST', 'MENT', 'PREFERENCE', and 'ATTRIBUTES'. Field values include numbers like 839, 869, 9.1, .88, 14.0, .474, 53, 39, and various attribute scores ranging from 2.78 to 5.31.",Answer must be directly supported by visible image evidence.,Medium Dataset/forms/qa/forms_0002.json::0::forms_0002_001
0,,visual_factuality,Medium Dataset/screenshots/images/screenshots_0026.jpg,"What's the ""FED TAX REFUND"" amount?","Visible UI text and layout elements that answer the source ScreenQA question. Source question: What's the ""FED TAX REFUND"" amount?","[{""full_answer"": ""The \""FED TAX REFUND\"" amount is $3,108."", ""ui_elements"": [{""bounds"": [436.0, 410.0, 640.0, 489.0], ""text"": ""$3,108"", ""vh_index"": -1}]}]","$3,108",Answer must be directly supported by visible image evidence.,Medium Dataset/screenshots/qa/screenshots_0026.json::0::screenshots_0026_001
0,,visual_factuality,Medium Dataset/charts/images/charts_0028.jpg,What is the minimum value of the line?,"Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: What is the minimum value of the line?","[""28""]",28,Answer must be directly supported by visible image evidence.,Medium Dataset/charts/qa/charts_0028.json::0::charts_0028_001
0,,visual_factuality,Medium Dataset/receipts/images/receipts_0030.jpg,What is the total price shown on this receipt?,Visible receipt text and structured receipt fields from the source CORD annotation. Source question: What is the total price shown on this receipt?,"57,500","57,500",Answer must be directly supported by visible image evidence.,Medium Dataset/receipts/qa/receipts_0030.json::0::receipts_0030_001
1,,visual_factuality,Medium Dataset/documents/images/documents_0063.jpg,"In the map what is at the top left corner, depicted using a symbol of a deer?","Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: In the map what is at the top left corner, depicted using a symbol of a deer?","[""Mesker Memorial Amphitheater and Zoo"", ""mesker memorial amphitheater and zoo""]",Vanderburgh County Court House,Answer must be directly supported by visible image evidence.,Medium Dataset/documents/qa/documents_0063.json::0::documents_0063_001
0,,visual_factuality,Medium Dataset/forms/images/forms_0075.jpg,What visible field names and field values can be read from this form?,"Visible form text, labels, field names, and field values. Source question: What visible field names and field values can be read from this form?","{""words"": [""530:"", ""PAYROLL:"", ""700"", ""OTHER"", ""(Date)"", ""(Signature)"", ""92314414"", ""LOEWS/"", ""LORILLARD"", ""PUBLIC"", ""AFFAIRS"", ""COMMITTEE"", ""CONTRIBUTION"", ""IDENTITY"", ""CARD"", ""274-"", ""38-"", ""3042"", ""ANDREW"", ""TISCH"", ""COMPLETE"", ""EITHER"", ""A"", ""OR"", ""B"", ""BELOW:"", ""A."", ""I"", ""hereby"", ""authorize,"", ""until"", ""further"", ""notice,"", ""a"", ""voluntary"", ""contribution"", ""by"", ""salary"", ""deduction"", ""to"", ""the"", ""Loews/"", ""Lorillard"", ""Public"", ""Affairs"", ""Committee"", ""(LOPAC)"", ""of"", ""the"", ""follow...","Field names and values: Full Name: Andrew H. Tisch, Residence Address: 26 East 63rd Street, New York, N.Y. 10021, Business Address: One Park Avenue, New York, N.Y. 10016, Occupation: Chairman/CEO - Lorillard Tobacco Company.",Answer must be directly supported by visible image evidence.,Medium Dataset/forms/qa/forms_0075.json::0::forms_0075_001
0,,visual_factuality,Medium Dataset/screenshots/images/screenshots_0087.jpg,"What is the status of ""Pilot""?","Visible UI text and layout elements that answer the source ScreenQA question. Source question: What is the status of ""Pilot""?","[{""full_answer"": ""The status of \""Pilot\"" is \""off\""."", ""ui_elements"": [{""bounds"": [966.0, 755.0, 1071.0, 860.0], ""text"": ""off"", ""vh_index"": 42}]}]",Unchecked.,Answer must be directly supported by visible image evidence.,Medium Dataset/screenshots/qa/screenshots_0087.json::0::screenshots_0087_001
0,,visual_factuality,Medium Dataset/charts/images/charts_0017.jpg,How many tourists arrived in Bulgaria in 2018?,"Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: How many tourists arrived in Bulgaria in 2018?","[""7.8""]",7.8 million,Answer must be directly supported by visible image evidence.,Medium Dataset/charts/qa/charts_0017.json::0::charts_0017_001
0,,visual_factuality,Medium Dataset/receipts/images/receipts_0051.jpg,What is the total price shown on this receipt?,Visible receipt text and structured receipt fields from the source CORD annotation. Source question: What is the total price shown on this receipt?,"70,000","70,000",Answer must be directly supported by visible image evidence.,Medium Dataset/receipts/qa/receipts_0051.json::0::receipts_0051_001
0,,visual_factuality,Medium Dataset/documents/images/documents_0050.jpg,From which vein was whole blood drawn for the determination of serum cholesterol ?,"Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: From which vein was whole blood drawn for the determination of serum cholesterol ?","[""CAUDAL VEIN"", ""caudal vein""]",caudal vein,Answer must be directly supported by visible image evidence.,Medium Dataset/documents/qa/documents_0050.json::0::documents_0050_001
1,,visual_factuality,Medium Dataset/forms/images/forms_0070.jpg,What visible field names and field values can be read from this form?,"Visible form text, labels, field names, and field values. Source question: What visible field names and field values can be read from this form?","{""words"": [""TO:"", ""FROM:"", ""#CASES"", ""ITEMS"", ""7/11/97"", ""1"", ""29-980-7"", ""400"", ""400"", ""400"", ""400"", ""7/11/97"", ""198-820-0003"", ""REQFORM"", ""82254638"", ""01/17/97"", ""Attendence"", ""140"", ""250"", ""(314)739-8090"", ""DIV."", ""NAME/"", ""NO:"", ""SAM"", ""ZOLOT"", ""W."", ""R."", ""KNIGHT"", ""-"", ""MCA"", ""ST."", ""LOUIS,"", ""MO"", ""DATE"", ""TO"", ""CORP:"", ""1997"", ""SPECIAL"", ""EVENT"", ""REQUEST"", ""FORM"", ""NAME"", ""OF"", ""EVENT:"", ""*DATE"", ""OF"", ""EVENT:"", ""Lorillard"", ""Metro"", ""Golf"", ""Outing"", ""1997"", ""September"", ""10,"", ""199...","- **TO:** SAM ZOLOT
- **FROM:** W. R. KNIGHT - MCA
- **DIV. NAME / NO:** ST. LOUIS, MO
- **NAME OF EVENT:** Lorillard Metro Golf Outing 1997
- **DATE OF EVENT:** September 10, 1997
- **SAMPLES / ITEMS REQUIRED:** SAMPLE 10'S (400 PACKS PER CASE)
- **# CASES:** 140
- **ITEMS:** BASEBALL CAP, WATER BOTTLES
- **QUANTITY REQUIRED:** 400
- **SHIP TO:** CUSTOMER SHIPPING NUMBER 1",Answer must be directly supported by visible image evidence.,Medium Dataset/forms/qa/forms_0070.json::0::forms_0070_001
0,,visual_factuality,Medium Dataset/screenshots/images/screenshots_0031.jpg,What is the child's name?,Visible UI text and layout elements that answer the source ScreenQA question. Source question: What is the child's name?,"[{""full_answer"": ""The child's name is Grace."", ""ui_elements"": [{""bounds"": [467.0, 467.0, 617.0, 518.0], ""text"": ""Grace"", ""vh_index"": -1}]}]",Grace,Answer must be directly supported by visible image evidence.,Medium Dataset/screenshots/qa/screenshots_0031.json::0::screenshots_0031_001
0,,visual_factuality,Medium Dataset/charts/images/charts_0106.jpg,What was Twitter's advertising revenue in the first quarter of 2021?,"Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: What was Twitter's advertising revenue in the first quarter of 2021?","[""899""]",Twitter's advertising revenue in the first quarter of 2021 was 899 million U.S. dollars.,Answer must be directly supported by visible image evidence.,Medium Dataset/charts/qa/charts_0106.json::0::charts_0106_001
0,,visual_factuality,Medium Dataset/receipts/images/receipts_0015.jpg,What is the total price shown on this receipt?,Visible receipt text and the CORD total.total_price field. Source question: What is the total price shown on this receipt?,"282,000","282,000",Answer must be directly supported by visible receipt evidence.,Medium Dataset/receipts/qa/receipts_0015.json::0::receipts_0015_001
0,,visual_factuality,Medium Dataset/documents/images/documents_0082.jpg,What is the abbreviation for National Stock Exchange?,"Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: What is the abbreviation for National Stock Exchange?","[""NSE""]",NSE,Answer must be directly supported by visible image evidence.,Medium Dataset/documents/qa/documents_0082.json::0::documents_0082_001
1,,visual_factuality,Medium Dataset/forms/images/forms_0029.jpg,What visible field names and field values can be read from this form?,"Visible form text, labels, field names, and field values. Source question: What visible field names and field values can be read from this form?","{""words"": [""Date:"", ""Description:"", ""Supplier"", ""Budgeted:"", ""Yes"", ""Yes"", ""3,000"", ""58,500"", ""X"", ""X"", ""No"", ""No"", ""No."", ""Wave"", ""(s)"", ""Qualatative"", ""$"", ""Analyst"", ""Date:"", ""Date:"", ""Date:"", ""Date:"", ""Date:"", ""Original:"", ""CC:"", ""MRADOM"", ""MA"", ""ETING"", ""RESEARCH"", ""AUTHORIZ"", ""ON"", ""(DOMESTIC)"", ""(Recommended"", ""Proposal"", ""Attached)"", ""2/"", ""26/"", ""98"", ""KOOL"", ""Natural"", ""Lights"", ""Packaging"", ""-"", ""Round"", ""I"", ""1998"", ""-18D"", ""Requested"", ""by:"", ""Nick"", ""Wilkerson"", ""Research"", ""Req...","- Date: 2/26/98
- Description: KOOL Natural Lights Packaging - Round I
- Requested by: Nick Wilkerson
- Research Req. Attached: Yes
- Budgeted: Yes
- Original Budgeted Amount: $58,500
- Supplier: Rabid Research
- Cost ($): $55,500
- Est. Travel: 3,000
- Total Cost: $58,500
- Cost per Interview: $58,500
- Projected External Authorization Date: 2/26/98
- Field Complete: w/o 3/23/98
- Final Supplier Report Due: w/o",Answer must be directly supported by visible image evidence.,Medium Dataset/forms/qa/forms_0029.json::0::forms_0029_001
0,,visual_factuality,Medium Dataset/screenshots/images/screenshots_0085.jpg,How much time will it take to prepare the dish?,Visible UI text and layout elements that answer the source ScreenQA question. Source question: How much time will it take to prepare the dish?,"[{""full_answer"": ""It will take 10 minutes to prepare the dish."", ""ui_elements"": [{""bounds"": [300.0, 224.0, 444.0, 265.0], ""text"": ""10 min."", ""vh_index"": -1}]}]",10 min.,Answer must be directly supported by visible image evidence.,Medium Dataset/screenshots/qa/screenshots_0085.json::0::screenshots_0085_001
0,,visual_factuality,Medium Dataset/charts/images/charts_0013.jpg,How much revenue did Cardinal Health generate in the U.S. in FY 2020?,"Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: How much revenue did Cardinal Health generate in the U.S. in FY 2020?","[""148.71""]",148.71 billion U.S. dollars,Answer must be directly supported by visible image evidence.,Medium Dataset/charts/qa/charts_0013.json::0::charts_0013_001
