status,target,certifiable_alpha,R_J_hat,c_J_prime,n_records,n_M1,n_M0,true_positive,false_positive,TPR,FPR,reliable,unreliable_reason,repeat_index,n_M,n_J,zeta,alpha_min,alpha_max,alpha_step
certified,visual_factuality,0.72,0.55,0.5548580064996133,5,3,2,3,0,1.0,0.0,True,,25,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.59,0.4,0.4091034879349963,5,3,2,3,0,1.0,0.0,True,,26,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.63,0.45,0.4524243570827292,5,3,2,3,0,1.0,0.0,True,,27,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,3,2,3,0,1.0,0.0,True,,28,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.59,0.4,0.4091034879349963,5,4,1,4,0,1.0,0.0,True,,29,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,4,1,4,0,1.0,0.0,True,,30,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.49,0.3,0.30613655757894065,5,4,1,4,0,1.0,0.0,True,,31,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.59,0.4,0.4091034879349963,5,4,1,4,0,1.0,0.0,True,,32,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,4,1,4,0,1.0,0.0,True,,33,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",34,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.63,0.45,0.4524243570827292,5,3,2,3,0,1.0,0.0,True,,35,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,4,1,4,0,1.0,0.0,True,,36,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.59,0.4,0.4091034879349963,5,4,1,4,0,1.0,0.0,True,,37,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.72,0.55,0.5548580064996133,5,3,2,3,0,1.0,0.0,True,,38,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",39,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",40,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.63,0.45,0.4524243570827292,5,3,2,3,0,1.0,0.0,True,,41,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.63,0.45,0.4524243570827292,5,4,1,4,0,1.0,0.0,True,,42,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",43,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.59,0.4,0.4091034879349963,5,4,1,4,0,1.0,0.0,True,,44,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",45,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.72,0.55,0.5548580064996133,5,4,1,4,0,1.0,0.0,True,,46,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.72,0.55,0.5548580064996133,5,3,2,3,0,1.0,0.0,True,,47,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",48,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",49,5,20,0.05,0.01,0.8,0.01
not_certified,visual_factuality,,0.7,0.6528798190839772,5,3,2,3,0,1.0,0.0,True,,50,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.59,0.4,0.4091034879349963,5,3,2,3,0,1.0,0.0,True,,51,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,4,1,4,0,1.0,0.0,True,,52,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,3,2,3,0,1.0,0.0,True,,53,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.59,0.4,0.4091034879349963,5,3,2,3,0,1.0,0.0,True,,54,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.72,0.55,0.5548580064996133,5,4,1,4,0,1.0,0.0,True,,55,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.54,0.35,0.35668919917292097,5,4,1,4,0,1.0,0.0,True,,56,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.63,0.45,0.4524243570827292,5,4,1,4,0,1.0,0.0,True,,57,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.72,0.55,0.5548580064996133,5,4,1,4,0,1.0,0.0,True,,58,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,4,1,4,0,1.0,0.0,True,,59,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.44,0.25,0.2574286568093023,5,3,2,3,0,1.0,0.0,True,,60,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.63,0.45,0.4524243570827292,5,4,1,4,0,1.0,0.0,True,,61,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.76,0.6,0.6029186315906621,5,4,1,4,0,1.0,0.0,True,,62,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.49,0.3,0.30613655757894065,5,4,1,4,0,1.0,0.0,True,,63,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.72,0.55,0.5548580064996133,5,4,1,4,0,1.0,0.0,True,,64,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.54,0.35,0.35668919917292097,5,4,1,4,0,1.0,0.0,True,,65,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,4,1,4,0,1.0,0.0,True,,66,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.59,0.4,0.4091034879349963,5,4,1,4,0,1.0,0.0,True,,67,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.63,0.45,0.4524243570827292,5,4,1,4,0,1.0,0.0,True,,68,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,4,1,4,0,1.0,0.0,True,,69,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,4,1,4,0,1.0,0.0,True,,70,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.76,0.6,0.6029186315906621,5,4,1,4,0,1.0,0.0,True,,71,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.59,0.4,0.4091034879349963,5,4,1,4,0,1.0,0.0,True,,72,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,4,1,4,0,1.0,0.0,True,,73,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.54,0.35,0.35668919917292097,5,4,1,4,0,1.0,0.0,True,,74,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.63,0.45,0.4524243570827292,5,4,1,4,0,1.0,0.0,True,,75,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.72,0.55,0.5548580064996133,5,4,1,4,0,1.0,0.0,True,,76,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.59,0.4,0.4091034879349963,5,3,2,3,0,1.0,0.0,True,,77,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.59,0.4,0.4091034879349963,5,3,2,3,0,1.0,0.0,True,,78,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",79,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.54,0.35,0.35668919917292097,5,3,2,3,0,1.0,0.0,True,,80,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,4,1,4,0,1.0,0.0,True,,81,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.54,0.35,0.35668919917292097,5,4,1,4,0,1.0,0.0,True,,82,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,4,1,4,0,1.0,0.0,True,,83,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.63,0.45,0.4524243570827292,5,4,1,4,0,1.0,0.0,True,,84,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.72,0.55,0.5548580064996133,5,4,1,4,0,1.0,0.0,True,,85,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.63,0.45,0.4524243570827292,5,4,1,4,0,1.0,0.0,True,,86,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.44,0.25,0.2574286568093023,5,4,1,4,0,1.0,0.0,True,,87,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.59,0.4,0.4091034879349963,5,4,1,4,0,1.0,0.0,True,,88,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.76,0.6,0.6029186315906621,5,3,2,3,0,1.0,0.0,True,,89,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",90,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.72,0.55,0.5548580064996133,5,4,1,4,0,1.0,0.0,True,,91,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.72,0.55,0.5548580064996133,5,4,1,4,0,1.0,0.0,True,,92,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",93,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",94,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.63,0.45,0.4524243570827292,5,3,2,3,0,1.0,0.0,True,,95,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.59,0.4,0.4091034879349963,5,4,1,4,0,1.0,0.0,True,,96,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.63,0.45,0.4524243570827292,5,3,2,3,0,1.0,0.0,True,,97,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.59,0.4,0.4091034879349963,5,3,2,3,0,1.0,0.0,True,,98,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",99,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.63,0.45,0.4524243570827292,5,4,1,4,0,1.0,0.0,True,,100,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.63,0.45,0.4524243570827292,5,4,1,4,0,1.0,0.0,True,,101,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.49,0.3,0.30613655757894065,5,3,2,3,0,1.0,0.0,True,,102,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.63,0.45,0.4524243570827292,5,4,1,4,0,1.0,0.0,True,,103,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.8,0.65,0.6528798190839772,5,4,1,4,0,1.0,0.0,True,,104,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.59,0.4,0.4091034879349963,5,3,2,3,0,1.0,0.0,True,,105,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,4,1,4,0,1.0,0.0,True,,106,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,3,2,3,0,1.0,0.0,True,,107,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.54,0.35,0.35668919917292097,5,3,2,3,0,1.0,0.0,True,,108,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",109,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",110,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",111,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.54,0.35,0.35668919917292097,5,4,1,4,0,1.0,0.0,True,,112,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.49,0.3,0.30613655757894065,5,4,1,4,0,1.0,0.0,True,,113,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.54,0.35,0.35668919917292097,5,3,2,3,0,1.0,0.0,True,,114,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.63,0.45,0.4524243570827292,5,4,1,4,0,1.0,0.0,True,,115,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.59,0.4,0.4091034879349963,5,3,2,3,0,1.0,0.0,True,,116,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.72,0.55,0.5548580064996133,5,4,1,4,0,1.0,0.0,True,,117,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.54,0.35,0.35668919917292097,5,4,1,4,0,1.0,0.0,True,,118,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,4,1,4,0,1.0,0.0,True,,119,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,3,2,3,0,1.0,0.0,True,,120,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",121,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.59,0.4,0.4091034879349963,5,3,2,3,0,1.0,0.0,True,,122,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.63,0.45,0.4524243570827292,5,4,1,4,0,1.0,0.0,True,,123,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,3,2,3,0,1.0,0.0,True,,124,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",125,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,4,1,4,0,1.0,0.0,True,,126,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.63,0.45,0.4524243570827292,5,4,1,4,0,1.0,0.0,True,,127,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.54,0.35,0.35668919917292097,5,4,1,4,0,1.0,0.0,True,,128,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.49,0.3,0.30613655757894065,5,4,1,4,0,1.0,0.0,True,,129,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.63,0.45,0.4524243570827292,5,4,1,4,0,1.0,0.0,True,,130,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",131,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.63,0.45,0.4524243570827292,5,4,1,4,0,1.0,0.0,True,,132,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.72,0.55,0.5548580064996133,5,4,1,4,0,1.0,0.0,True,,133,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,4,1,4,0,1.0,0.0,True,,134,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,4,1,4,0,1.0,0.0,True,,135,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.72,0.55,0.5548580064996133,5,4,1,4,0,1.0,0.0,True,,136,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.72,0.55,0.5548580064996133,5,4,1,4,0,1.0,0.0,True,,137,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.59,0.4,0.4091034879349963,5,4,1,4,0,1.0,0.0,True,,138,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.54,0.35,0.35668919917292097,5,3,2,3,0,1.0,0.0,True,,139,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,3,2,3,0,1.0,0.0,True,,140,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,4,1,4,0,1.0,0.0,True,,141,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.72,0.55,0.5548580064996133,5,4,1,4,0,1.0,0.0,True,,142,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",143,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.72,0.55,0.5548580064996133,5,4,1,4,0,1.0,0.0,True,,144,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.54,0.35,0.35668919917292097,5,4,1,4,0,1.0,0.0,True,,145,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",146,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",147,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",148,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.59,0.4,0.4091034879349963,5,4,1,4,0,1.0,0.0,True,,149,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",150,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.63,0.45,0.4524243570827292,5,4,1,4,0,1.0,0.0,True,,151,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,4,1,4,0,1.0,0.0,True,,152,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",153,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.59,0.4,0.4091034879349963,5,3,2,3,0,1.0,0.0,True,,154,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.72,0.55,0.5548580064996133,5,4,1,4,0,1.0,0.0,True,,155,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",156,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",157,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",158,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,3,2,3,0,1.0,0.0,True,,159,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",160,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",161,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,4,1,4,0,1.0,0.0,True,,162,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",163,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.76,0.6,0.6029186315906621,5,4,1,4,0,1.0,0.0,True,,164,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.63,0.45,0.4524243570827292,5,4,1,4,0,1.0,0.0,True,,165,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",166,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.59,0.4,0.4091034879349963,5,4,1,4,0,1.0,0.0,True,,167,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.72,0.55,0.5548580064996133,5,3,2,3,0,1.0,0.0,True,,168,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.59,0.4,0.4091034879349963,5,4,1,4,0,1.0,0.0,True,,169,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.59,0.4,0.4091034879349963,5,3,2,3,0,1.0,0.0,True,,170,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.72,0.55,0.5548580064996133,5,4,1,4,0,1.0,0.0,True,,171,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.72,0.55,0.5548580064996133,5,4,1,4,0,1.0,0.0,True,,172,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.72,0.55,0.5548580064996133,5,4,1,4,0,1.0,0.0,True,,173,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",174,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,4,1,4,0,1.0,0.0,True,,175,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.63,0.45,0.4524243570827292,5,4,1,4,0,1.0,0.0,True,,176,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.49,0.3,0.30613655757894065,5,3,2,3,0,1.0,0.0,True,,177,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.59,0.4,0.4091034879349963,5,3,2,3,0,1.0,0.0,True,,178,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,3,2,3,0,1.0,0.0,True,,179,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,4,1,4,0,1.0,0.0,True,,180,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",181,5,20,0.05,0.01,0.8,0.01
not_certified,visual_factuality,,0.7,0.6528798190839772,5,3,2,3,0,1.0,0.0,True,,182,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",183,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.44,0.25,0.2574286568093023,5,4,1,4,0,1.0,0.0,True,,184,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.72,0.55,0.5548580064996133,5,3,2,3,0,1.0,0.0,True,,185,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,3,2,3,0,1.0,0.0,True,,186,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.49,0.3,0.30613655757894065,5,4,1,4,0,1.0,0.0,True,,187,5,20,0.05,0.01,0.8,0.01
